business_name,address,phone,website,types,source_town,source_categories,rating,reviews,place_id,lat,lng
Hybla Tavern,"11 Flinders Parade, Middleton Beach WA 6330, Australia",(08) 9841 1120,http://www.hybla.com.au/,"bar,establishment,food,liquor_store,point_of_interest,restaurant,store",Albany,"restaurants,pubs and bars,cafes",4.5,1420,ChIJm1Tv7lwnOSoR_4S5x_Xa3Oc,-35.0239455,117.9149726
Chilli Coconut HALAL Restaurant,"Hardie Rd, Spencer Park WA 6330, Australia",0447 601 557,,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.9,453,ChIJZ0hrNUwnOSoRj8ecgixuSIw,-35.008114,117.8983539
Southern Viet Bites,"184 York St, Albany WA 6330, Australia",(08) 6846 4343,https://www.facebook.com/p/Southern-Viet-Bites-100095502465302/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,cafes,takeaway food",4.6,146,ChIJA4BEPmYnOSoRREJQpVoNMgk,-35.0244189,117.8839211
Royal turban indian restaurant,"234 Albany Hwy, Albany WA 6330, Australia",0482 795 603,https://royalturbanindianrestaurant.com.au/menu/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.9,1166,ChIJxZ6l7oshOSoR5D68H4poZ2Q,-35.0112029,117.8714737
Little Italy Restaurant,"220 York St, Albany WA 6330, Australia",(08) 6812 0303,https://www.facebook.com/pages/category/Italian-Restaurant/Little-Italy-Restaurant-Pizzeria-Albany-1580253612101868/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.5,539,ChIJRRXSUQgnOSoRsaYRs_Tpiuc,-35.0235592,117.8836592
Albany Indian Tandoori Restaurant since 2011,"75 Frederick St, Albany WA 6330, Australia",0488 781 088,https://albanytandoori.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.5,1368,ChIJ17BRsCUnOSoRniN6KWeQqPM,-35.0262077,117.88594
Ocean & Paddock,"116 Middleton Rd, Middleton Beach WA 6330, Australia",(08) 9842 6212,http://www.oceanandpaddock.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,cafes,takeaway food",4.4,1632,ChIJBUY0R0YnOSoRD5pFSWlDGxc,-35.0208015,117.9054794
The Gaffer,"190 York St, Albany WA 6330, Australia",,https://www.thegaffer.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.5,195,ChIJSRUzIAAnOSoRRtWHs8taDS8,-35.0241541,117.8838099
Venice Pizza Bar & Restaurant,"179 York St, Albany WA 6330, Australia",(08) 9841 3978,http://www.thevenicealbany.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.5,1212,ChIJX1lpqSgnOSoRWZ66aCQ5K0U,-35.0246459,117.8833273
Baba Fattoush Café & Restaurant,"356/358 Middleton Rd, Albany WA 6330, Australia",0435 744 692,,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes,takeaway food",4.9,107,ChIJ_9T8G0UnOSoRHvL4KNOtFnA,-35.0204363,117.8840367
Emu Point Cafe,"1 Mermaid Ave, Emu Point WA 6330, Australia",(08) 9844 7207,http://www.emupointcafe.com.au/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,pubs and bars,cafes,takeaway food",4.2,1724,ChIJhQ_Bw0rfOCoR8b-16q0iVGs,-34.998219,117.9474567
Social Manna,"253 Albany Hwy, Victoria Park WA 6100, Australia",0491 260 941,https://socialmanna.com.au/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,pubs and bars,cafes",4.7,1306,ChIJj6pKu827MioRvxtNDQSkvLM,-31.9718526,115.8944223
Petra Restaurant,"1/361 Albany Hwy, Victoria Park WA 6100, Australia",0414 772 991,https://petrarestaurantonline.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.6,1376,ChIJPXzu5Qe7MioRofFL4UoT-oI,-31.9738381,115.8968417
Ryan's Restaurant,"314 Albany Hwy, Centennial Park WA 6330, Australia",(08) 9841 2911,https://www.aceaccommodationalbany.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.3,78,ChIJazS922ghOSoRUKMPj_uyqoI,-35.0049092,117.8675894
Kate's Place,"42 Stirling Terrace, Albany WA 6330, Australia",(08) 9842 9696,,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes,takeaway food",4.5,866,ChIJW7K5VyQnOSoRI-NA9xj9T3Q,-35.0271394,117.8868212
Frederick's Café,"36 Peels Pl, Albany WA 6330, Australia",(08) 9841 5112,https://www.facebook.com/frederickscafe1/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes,takeaway food",4.4,539,ChIJRRgcESYnOSoRWVUrL-BALSY,-35.0256928,117.8839093
Whalers Galley Cafe,"81 Whaling Station Rd, Torndirrup WA 6330, Australia",(08) 9844 4711,,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes",3.9,183,ChIJq7w-hJfXOCoRUGziepC6vLc,-35.0951864,117.9593882
Kanpai Yakiniku,"280 Albany Hwy, Victoria Park WA 6100, Australia",(08) 9253 0379,http://www.kanpaiperth.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.6,657,ChIJxa9RqF27MioRh7xZUfz7bxc,-31.9719106,115.8949926
Kirby's - Atelier de Cuisine,"176 Stirling Terrace, Albany WA 6330, Australia",0431 938 743,http://kirbys.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,5,28,ChIJVVUl2CUnOSoR0KZsLrBl5-A,-35.0269581,117.8826706
Bay Merchants,"18 Adelaide Cres, Middleton Beach WA 6330, Australia",0400 360 674,https://aumaps.me/bay-merchants-128183-au,"cafe,establishment,food,liquor_store,point_of_interest,restaurant,store",Albany,"restaurants,cafes",4.3,369,ChIJ97c5L10nOSoRfA_fGvb9OJw,-35.0253721,117.9137905
Chanya Thai,"12/76 Proudlove Parade, Albany WA 6330, Australia",(08) 9800 1901,https://chanyathai.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.4,323,ChIJtzQcxDsnOSoR_tr_117iEuE,-35.02775,117.88649
Hooked On Middleton Beach Fish & Chips,"12/20 Adelaide Cres, Middleton Beach WA 6330, Australia",(08) 9842 2422,http://www.hookedonmiddletonbeach.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.4,1126,ChIJF9fpKF0nOSoRH9Dujtkr9b4,-35.0253675,117.9136318
Don Japanese Fusion,"338 Middleton Rd, Albany WA 6330, Australia",(08) 6812 0394,https://www.donjapanesefusion.com/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.4,285,ChIJzxjiZ_MnOSoRelrZaLIC298,-35.019972,117.884368
Colaba Social Indian Brasserie,"892 Albany Hwy, East Victoria Park WA 6101, Australia",0431 028 445,https://www.colabasocial.com.au/?utm_source=google&utm_medium=gmb&utm_campaign=local,"bar,establishment,food,meal_takeaway,point_of_interest,restaurant",Albany,"restaurants,pubs and bars",4.4,390,ChIJH-YpcRW7MioR6sZgMCgE8jg,-31.9861568,115.9043931
Chester Pass Lunch Bar,"23 Chester Pass Rd, Orana WA 6330, Australia",(08) 9841 5145,https://facebook.com/chesterpasslunchbar/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes",4.5,139,ChIJ4Wl-ISMhOSoR7bjqof2nQKo,-35.00124330000001,117.8675237
Joop Thai Restaurant,"130 Lockyer Ave, Centennial Park WA 6330, Australia",(08) 9841 5377,https://facebook.com/JoopThai/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.2,553,ChIJd2yEziwnOSoRFPA0KJZv560,-35.0144444,117.8858333
Cosi's Café,"3a/141 York St, Albany WA 6330, Australia",(08) 9841 7899,,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes,takeaway food",4.2,538,ChIJAQj3EiYnOSoRnaLIKI199Fc,-35.0260367,117.8832708
Sia’s Kitchen,"154 York St, Albany WA 6330, Australia",(08) 9842 1997,,"establishment,food,meal_takeaway,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.3,182,ChIJfXRr-osnOSoRTX-MqS34RJY,-35.0253082,117.8838192
Vancouver Street Cafe,"65 Vancouver St, Albany WA 6330, Australia",(08) 9841 2475,https://www.facebook.com/VancouverCafeAlbany/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes,takeaway food",4.4,611,ChIJ9X-BktcmOSoRE0zCh7JyWzo,-35.0261173,117.8763337
Sage Cafe,"414 Albany Hwy, Victoria Park WA 6100, Australia",(08) 6222 6691,https://www.sagecafe.net.au/,"cafe,establishment,food,point_of_interest,restaurant",Albany,"restaurants,cafes",4.4,857,ChIJ473Ua3a7MioRErjNypSJTLg,-31.974749,115.8979132
Little India cafe and Restaurant Albany,"Shop 2/218 York St, Albany WA 6330, Australia",0473 733 433,https://www.littleindiaalbany.com/?location=11efb474e089f67799353cecef6dbab4,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.5,128,ChIJLdL6WQAnOSoRisZMI_tves8,-35.0237578,117.8837468
Neho,"249 Albany Hwy, Victoria Park WA 6100, Australia",(08) 6263 0909,http://www.neho.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.8,1561,ChIJISQ8fnS7MioRJH1vijLCsm4,-31.9717039,115.8942043
Dôme Café - Albany,"70 Albany Hwy, Albany WA 6330, Australia",(08) 9841 1933,http://www.domecoffees.com/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,cafes,takeaway food",4.1,821,ChIJYdLguSsnOSoRUuhORqLsJho,-35.0193498,117.881498
Crustelo,"69, Shop 2A/75 Lockyer Ave, Albany WA 6330, Australia",(08) 9841 2442,https://crustelo.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",5,2,ChIJp2QenL0nOSoReeyXMFIh95E,-35.0186114,117.8835608
TRAIN TO POCHA 포차행,"1/339 Albany Hwy, Victoria Park WA 6100, Australia",(08) 6507 7435,https://traintopochaonline.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.3,367,ChIJXWKrc0i7MioRdMzwioyTgFU,-31.9733902,115.8964848
Sandalford Restaurant,"Sandalford Wines Building, 3210 W Swan Rd, Caversham WA 6055, Australia",(08) 9374 9301,https://www.sandalford.com/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.9,2534,ChIJNbx_UCO3MioRBlHBDfwUBSI,-31.868727,115.9924667
The Kraken Albany,"256 Princess Royal Dr, Albany WA 6330, Australia",,,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,takeaway food",4.3,50,ChIJExHhSJInOSoRlY4nNjHXRmk,-35.0305542,117.8886937
Yum Yum Tree Victoria Park,"319 Albany Hwy, Victoria Park WA 6100, Australia",0431 391 119,https://yumyumtree.com.au/,"establishment,food,point_of_interest,restaurant",Albany,restaurants,4.3,763,ChIJU1ApN3S7MioR5AEcx3x4eRs,-31.973041,115.8960502
Barrel Farm,"47898 South Coast Hwy, Albany WA 6330, Australia",0447 569 992,https://www.barrelfarm.com.au/,"establishment,food,point_of_interest",Albany,pubs and bars,4.3,186,ChIJVygKNf8jOSoRXfAOZglg7w8,-34.9963527,117.8088114
InSwing Sports Bar,"40 Sanford Rd, Centennial Park WA 6330, Australia",(08) 9841 7717,,"bar,establishment,point_of_interest",Albany,"pubs and bars,sporting clubs",4.5,311,ChIJpyjE5tQgOSoRvh_DMxoWElM,-35.0138978,117.8815762
Eve Late Night Bar,"Basement/338 Middleton Loop, Albany WA 6330, Australia",0466 472 273,https://evelatenightbar.com.au/,"bar,establishment,night_club,point_of_interest",Albany,pubs and bars,4,62,ChIJg4nps8cnOSoRqAaGp_oD0Ag,-35.019967,117.8845279
The Waverley Brewhouse,"Rooftop Dining, Carousel Shopping Centre, Shop R207, Level 2/1382 Albany Hwy, Cannington WA 6107, Australia",(08) 6424 8160,http://www.waverleybrewhouse.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.2,1868,ChIJmTsvnmy9MioRxXQ5bVAN5LQ,-32.0203074,115.9374143
Premier Hotel Albany,"194-208 York St, Albany WA 6330, Australia",(08) 9800 1803,http://www.premierhotelalbany.com.au/,"bar,establishment,point_of_interest",Albany,pubs and bars,4.3,452,ChIJRXaswXInOSoR12lK5hnIsWM,-35.0239856,117.883744
Somewhere in the Park,"243 Albany Hwy, Victoria Park WA 6100, Australia",0434 418 877,https://www.somewhereinthepark.social/,"bar,establishment,food,liquor_store,point_of_interest,restaurant,store",Albany,pubs and bars,4.2,397,ChIJw_LvCAC7MioR1yEougpiu-E,-31.9717199,115.8938566
Varsity Cannington,"1525 Albany Hwy, Beckenham WA 6107, Australia",(08) 6149 6699,https://www.varsity.com.au/,"bar,bowling_alley,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.6,1121,ChIJf0ng6Qy_MioRg0n7X4KoxQc,-32.0284777,115.9513268
Broken Hill Hotel,"314 Albany Hwy, Victoria Park WA 6100, Australia",(08) 9361 1038,http://www.brokenhillhotel.com.au/,"bar,establishment,food,liquor_store,point_of_interest,restaurant,store",Albany,pubs and bars,4.3,713,ChIJLRORSXS7MioRkpkTszCW_Y4,-31.9726467,115.8961752
Elleker General Store & Tavern,"Lower Denmark Rd, Elleker WA 6330, Australia",(08) 9844 6367,,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.6,69,ChIJ7YTi4SU9OSoRNJz637e1PoQ,-35.0085662,117.7244872
The Bentley,"1120-1124 Albany Hwy, Bentley WA 6102, Australia",(08) 9460 9928,https://bentleyhotel.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.2,1125,ChIJg0BwFmy8MioRdwVkM0VUoEg,-31.9997235,115.918148
Balmoral Hotel,"901 Albany Hwy, Victoria Park WA 6101, Australia",(08) 9355 4533,https://www.thebalmoral.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.4,4967,ChIJRxpbsYC7MioRsuWv8EvVYuU,-31.9871826,115.9045227
Stirling Club Incorporated,"14 Stirling Terrace, Albany WA 6330, Australia",(08) 9841 1711,,"bar,establishment,point_of_interest",Albany,"pubs and bars,sporting clubs",4.4,61,ChIJHUPpsSQnOSoRZ7sgA6q-0hU,-35.0280028,117.8890348
Gosnells Hotel,"2149 Albany Hwy, Gosnells WA 6110, Australia",(08) 9398 2224,https://www.gosnellshotel.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.3,3844,ChIJlZbNohCVMioREI51KxhyMWU,-32.0681707,115.9987528
Boston Brewing Co Vic Park,"660 Albany Hwy, Victoria Park WA 6100, Australia",(08) 9253 0894,http://www.summerhoney.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.5,1062,ChIJp7sqVAS7MioRy1U9Rec4wf8,-31.9807135,115.9007906
Dune Beer Co,"245 Emu Point Dr, Collingwood Park WA 6330, Australia",(08) 9844 7733,https://dunebeerco.com.au/,"establishment,food,point_of_interest",Albany,pubs and bars,4.3,126,ChIJL6H8GvAhOSoRijWeWNA3WPg,-35.003919,117.9244279
星期8 KINGKONG BAR & RESTAURANT,"4/1020 Albany Hwy, East Victoria Park WA 6101, Australia",0402 578 688,https://social.quandoo.com/en/groups/Kingkong%20Bar%20&%20Restaurant,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,3.7,179,ChIJf7ZNOYC9MioRY_kWP3rHBBs,-31.9928512,115.9117507
Brooklands Tavern,"7 Holmes St, Southern River WA 6110, Australia",(08) 9490 9777,https://www.brooklands.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.4,3045,ChIJf3oLN3SWMioR2D0DOAvFtdA,-32.0904325,115.9434368
Queens Tavern,"520 Beaufort St, Highgate WA 6003, Australia",(08) 9328 7267,https://www.thequeens.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.4,4148,ChIJS99K_8O6MioR0Ev1pImBcw0,-31.9381962,115.8699798
Albany Hotel,"244 York St, Albany WA 6330, Australia",(08) 9842 3337,,"establishment,lodging,point_of_interest",Albany,"pubs and bars,hotels",3.7,292,ChIJkUZZ0ignOSoR2ZhJ2SCvP9Y,-35.0227394,117.8836669
The Ashby Bar & Bistro,"131 Pinjar Rd, Ashby WA 6065, Australia",(08) 9206 1966,https://www.theashbybarandbistro.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.1,1559,ChIJrXrfzB9TzSsRaH4rdj6Me_g,-31.7311274,115.80439
The Carlisle Bar & Bistro,"174 Rutland Ave, Carlisle WA 6101, Australia",(08) 9361 1544,https://thecarlislebarandbistro.com.au/,"bar,establishment,food,liquor_store,night_club,point_of_interest,restaurant,store",Albany,pubs and bars,4.1,1047,ChIJ2e-OjoW7MioRGkFpmJiSkSg,-31.9797631,115.9108697
Brew Garage,"20 Milford St, East Victoria Park WA 6101, Australia",0486 035 890,https://brewgarage.beer/,"bar,establishment,food,liquor_store,meal_takeaway,point_of_interest,restaurant,store",Albany,pubs and bars,5,168,ChIJ-_7qFX29MioREPb4fcWLY7U,-31.9908229,115.9161116
8 Knots Tavern,"110 Riverside Rd, East Fremantle WA 6158, Australia",(08) 6156 3768,http://8knots.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.2,1230,ChIJqXhjSj-jMioRnfRGuABrXY0,-32.0258812,115.7656342
Empire Bar,"220 Great Eastern Hwy, Lathlain WA 6100, Australia",(08) 9470 3778,https://www.empirebar.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.2,1753,ChIJyQlIH6e7MioRLfntgNnxL1s,-31.9611341,115.9023653
French Toast,"2 Birss St, Emu Point WA 6330, Australia",0403 860 610,,"bar,cafe,establishment,food,meal_takeaway,point_of_interest,restaurant",Albany,pubs and bars,4.5,2,ChIJ49MsOvInOSoRd7UY3rZ8z3o,-34.9984044,117.9404625
LEGENDZ Lunch,"1802 Albany Hwy, Kenwick WA 6107, Australia",0405 151 551,,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.7,145,ChIJcaj2ljy-MioRRqPwq25UYWo,-32.0455631,115.9749704
Criniti’s Carousel,"Westfield Carousel, R211/1382 Albany Hwy, Cannington WA 6107, Australia",(02) 8026 7700,https://www.crinitis.com.au/?utm_content=Criniti's+Carousel+-+Cannington&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_9860968465104616760,"establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.3,2687,ChIJj0S3Wyy8MioRxMqDhAMT2KQ,-32.0184226,115.9386694
MoMo Planet,"315-317 Albany Hwy, Victoria Park WA 6100, Australia",0469 790 795,http://www.momoplanetperth.com/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,4.4,993,ChIJ64HoMp27MioRkeyzIZeQQj0,-31.9729299,115.895998
La Fontana,"270 Albany Hwy, Albany WA 6330, Australia",(08) 9841 7399,http://www.sleepwellmotel.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,pubs and bars,3.8,4,ChIJlbkzgC8hOSoRBqJHth6yjRU,-35.0083136,117.8696267
Gourmandise & Co,"56 Stirling Terrace, Albany WA 6330, Australia",0466 571 222,,"cafe,establishment,food,point_of_interest",Albany,"cafes,takeaway food",4.6,538,ChIJ163fUCQnOSoRNIrOypQJ6zQ,-35.0270926,117.8864054
HazBeanz Finestkind Coffee,"5d Toll Pl, Albany WA 6330, Australia",,https://www.facebook.com/hazbeanz/,"cafe,establishment,food,point_of_interest,store",Albany,"cafes,takeaway food",4.6,441,ChIJXbhvfyQnOSoRzhrbwQgxGZc,-35.0300315,117.8869382
The Naked Bean Coffee Roasters,"242 Middleton Rd, Mira Mar WA 6330, Australia",(08) 9841 4225,http://www.thenakedbean.com.au/,"cafe,establishment,food,point_of_interest,store",Albany,cafes,4.5,277,ChIJT3HB0zMnOSoRnUB6Og-kkjk,-35.0171313,117.892997
Cafe Eighty2,"953 Albany Hwy, East Victoria Park WA 6101, Australia",0402 770 391,,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,cafes,4.6,513,ChIJ0415_v69MioR28D40Jv-85w,-31.9897395,115.906854
The Well Cafe,"20 Bethel Way, Yakamia WA 6330, Australia",0402 559 539,,"cafe,establishment,food,point_of_interest",Albany,cafes,5,11,ChIJVWnqYpAhOSoRNWVLR3gqzFI,-35.0046044,117.8811738
Brew Lane Drive-Thru Coffee,"Unit 1/17 Sanford Rd, Centennial Park WA 6330, Australia",0411 376 880,http://brewlane.com.au/,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",Albany,"cafes,takeaway food",4.7,128,ChIJeWJjtCAnOSoREZE8soJRpVw,-35.0159957,117.8796069
Hardie Rd Cafe,"7/3 Hardie Rd, Spencer Park WA 6330, Australia",(08) 6830 1300,https://www.hardierdcafe.com.au/,"cafe,establishment,food,point_of_interest,store",Albany,cafes,4.6,30,ChIJYz8W3cYhOSoRCMlj0pp6R4E,-35.0079664,117.8983916
The Store on Frederick,"55 Frederick St, Albany WA 6330, Australia",0410 788 095,http://restaurantwebexperts.com/TheStoreonFrederick/,"cafe,establishment,food,point_of_interest,store",Albany,cafes,4.6,193,ChIJl0BBqyUnOSoRVI82f_pp53c,-35.026286,117.8866348
The Sparrow's Nest,"1/912 Albany Hwy, East Victoria Park WA 6101, Australia",0419 924 236,https://www.facebook.com/TheSparrowsNestCafe,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,cafes,4.2,534,ChIJ4f6MsoC7MioRXjRp6yZeJc8,-31.9872894,115.9050322
Sixteen Ounces,"257 Albany Hwy, Victoria Park WA 6100, Australia",0478 360 025,http://www.sixteenounces.com.au/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,cafes,4.5,664,ChIJuZKjfHS7MioRIqv_bmZRask,-31.9719573,115.8944678
Yolandas Cafe,"9/1296 Albany Hwy, Cannington WA 6107, Australia",(08) 8268 8141,https://yolandas-cafe-catering.square.site/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,cafes,4.7,190,ChIJz-m6pjC8MioR5j9EPI3IxU0,-32.0146392,115.9301018
